Altium Designer Pick and Place Locations
D:\Altium Files\Projects\PWM fan with Encoder\Project Outputs for PWM fan with Encoder\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       24/10/24
Time:       01:15
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U?","SHT31-DIS-B2.5KS","BottomLayer","FP-SHT31-DIS-B2_5KS-MFG","4568.898","3024.606","270","SENSOR HUMID/TEMP 5V I2C 2% SMD"
"D17","LTST-C191TBKT-5A","TopLayer","0603","3559.843","2038.189","90","Blue 473nm LED Indication - Discrete 2.8V 0603 _1608 Metric_"
"R32","ERJ-2RKF2002X","BottomLayer","FP-ERJ2RK-MFG","3880.315","2046.850","180","RES SMD 20K OHM 1% 1/10W 0402"
"R31","ERJ-2RKF1003X","BottomLayer","FP-ERJ2RK-IPC_C","3771.963","2045.669","180","RES SMD 100K OHM 1% 1/10W 0402"
"U4","LD1117AS33TR","BottomLayer","SOT-223_M","3974.803","2378.346","90","1A, Low Drop Positive Voltage Regulator, 3.3V, 4-Pin SOT-223, Tape and Reel"
"U3","LD1117S50TR","BottomLayer","SOT-223_L","3681.496","2372.441","90","Fixed Low Drop Positive Voltage Regulator, 5V, 4-Pin SOT-223, Tape and Reel"
"U2","MCP23017T-E/ML","BottomLayer","QFN-ML28_M","3902.756","3014.961","0","16-Bit I/O Expander with Serial Interface, 28-Pin QFN, Extended Temperature, Tape and Reel"
"U1","ESP32-S3-WROOM-1U-N16R8","BottomLayer","XCVR_ESP32-S3-WROOM-1U-N16R8","3873.228","3706.299","180","Bluetooth, WiFi 802.11b/g/n, Bluetooth v5.0 Transceiver Module 2.4GHz Antenna Not Included, U.FL Surface Mount"
"SW2","FSMSM","BottomLayer","TECO-FSMSM-2_V","4744.882","3887.402","90","FSMSM Push Button Switch, 50 mA, -35 to 85 degC, 2-Pin SMD, RoHS, Bulk"
"SW1","FSMSM","BottomLayer","TECO-FSMSM-2_V","4579.134","3887.402","90","FSMSM Push Button Switch, 50 mA, -35 to 85 degC, 2-Pin SMD, RoHS, Bulk"
"R30","ERJ-2GEJ103X","BottomLayer","RESC1005X40X25ML05T05","4381.890","3555.118","0",""
"R29","CRCW0402680RFKED","BottomLayer","RESC1005X40X25ML05T05","3644.488","3098.425","180",""
"R28","ERJ-2GEJ103X","BottomLayer","RESC1005X40X25ML05T05","4381.890","3606.299","0",""
"R27","ERJ-2GEJ103X","BottomLayer","RESC1005X40X25ML05T05","4485.827","3485.433","180",""
"R26","ERJ-2GEJ103X","BottomLayer","RESC1005X40X25ML05T05","4381.890","3657.480","0",""
"R25","CRCW0402680RFKED","BottomLayer","RESC1005X40X25ML05T05","3644.488","3039.370","180",""
"R24","ERJ-2GEJ102X","BottomLayer","RESC1005X40X25NL05T05","4463.779","3550.000","270",""
"R23","CRCW0402680RFKED","BottomLayer","RESC1005X40X25ML05T05","3644.488","2980.315","180",""
"R22","ERJ-2GEJ103X","BottomLayer","RESC1005X40X25ML05T05","4381.890","3712.598","0",""
"R21","CRCW0402680RFKED","BottomLayer","RESC1005X40X25ML05T05","3644.488","2921.260","180",""
"R20","ERJ-2GEJ103X","BottomLayer","RESC1005X40X25ML05T05","3799.213","3255.905","270",""
"R19","ERJ-2GEJ103X","BottomLayer","RESC1005X40X25ML05T05","3850.394","3255.905","270",""
"R18","CRCW0402680RFKED","BottomLayer","RESC1005X40X25ML05T05","3735.827","2780.709","270",""
"R17","CRCW0402680RFKED","BottomLayer","RESC1005X40X25ML05T05","3790.157","2780.315","270",""
"R16","CRCW0402680RFKED","BottomLayer","RESC1005X40X25ML05T05","3845.276","2780.709","270",""
"R15","ERJ-2GEJ103X","BottomLayer","RESC1005X40X25ML05T05","3980.315","3255.905","270",""
"R14","CRCW0402680RFKED","BottomLayer","RESC1005X40X25ML05T05","3901.181","2780.709","270",""
"R13","CRCW0402680RFKED","BottomLayer","RESC1005X40X25ML05T05","3956.299","2780.709","270",""
"R12","CRCW0402680RFKED","BottomLayer","RESC1005X40X25ML05T05","4011.417","2780.709","270",""
"R11","ERJ-2GEJ103X","BottomLayer","RESC1005X40X25ML05T05","4051.181","3255.905","270",""
"R10","ERJ-2GEJ103X","BottomLayer","RESC1005X40X25ML05T05","4382.283","3496.457","0",""
"R9","RC0402FR-075K1L","BottomLayer","RESC1005X40X25NL05T10","4881.693","2470.079","180",""
"R8","RC0402FR-075K1L","BottomLayer","RESC1005X40X25NL05T10","4834.646","2645.669","90",""
"R7","CRCW0402680RFKED","BottomLayer","RESC1005X40X25ML05T05","4066.535","2780.709","270",""
"R6","CRCW0402680RFKED","BottomLayer","RESC1005X40X25ML05T05","4169.685","2912.992","0",""
"R5","CRCW0402680RFKED","BottomLayer","RESC1005X40X25ML05T05","4169.685","2968.110","0",""
"R4","CRCW0402680RFKED","BottomLayer","RESC1005X40X25ML05T05","4169.685","3023.228","0",""
"R3","ERJ-2GEJ103X","BottomLayer","RESC1005X40X25ML05T05","4370.079","3885.827","0",""
"R2","CRCW0402680RFKED","BottomLayer","RESC1005X40X25ML05T05","4169.685","3078.346","0",""
"R1","CRCW0402680RFKED","BottomLayer","RESC1005X40X25ML05T05","4169.685","3133.465","0",""
"Q1","SI4599DY-T1-GE3","BottomLayer","FP-C-06527-IPC_B","4093.531","1888.386","180","MOSFET N/P-CH 40V 6.8A 8SOIC"
"J3","691102710002","BottomLayer","691102710002","4111.023","1496.850","180",""
"J2","TYPE-C-31-M-12","BottomLayer","TYPE-C-31-M-12","5087.598","2539.173","270","USB Type C Connector Horizontal SMT"
"J1","691102710002","BottomLayer","691102710002","3652.756","1496.850","180",""
"ENC2","PEC11L-4220F-S0015","TopLayer","FP-PEC11L-4220F-S0015-MFG","3110.045","2019.153","0","ROTARY ENCODER MECHANICAL 15PPR"
"ENC1","PEC11L-4220F-S0015","TopLayer","FP-PEC11L-4220F-S0015-MFG","4603.003","2018.743","0","ROTARY ENCODER MECHANICAL 15PPR"
"D19","LTST-C191TBKT-5A","TopLayer","0603","3490.001","1788.583","60","Blue 473nm LED Indication - Discrete 2.8V 0603 _1608 Metric_"
"D18","LTST-C193KRKT-2A","TopLayer","0603","4192.955","1837.008","115","Red 629nm LED Indication - Discrete 1.9V 0603 _1608 Metric_"
"D16","LTST-C191TBKT-5A","TopLayer","0603","3494.367","2262.598","120","Blue 473nm LED Indication - Discrete 2.8V 0603 _1608 Metric_"
"D15","LTST-C191TBKT-5A","TopLayer","0603","3268.124","2447.274","155","Blue 473nm LED Indication - Discrete 2.8V 0603 _1608 Metric_"
"D14","V10P10-M3/86A","BottomLayer","FP-95570-MFG","3818.405","1889.764","270","DIODE SCHOTTKY 100V 10A TO277A"
"D13","LTST-C191TBKT-5A","TopLayer","0603","2939.356","2445.700","25","Blue 473nm LED Indication - Discrete 2.8V 0603 _1608 Metric_"
"D12","LTST-C191TBKT-5A","TopLayer","0603","2720.464","2262.598","60","Blue 473nm LED Indication - Discrete 2.8V 0603 _1608 Metric_"
"D11","LTST-C191TBKT-5A","TopLayer","0603","2655.597","2038.977","90","Blue 473nm LED Indication - Discrete 2.8V 0603 _1608 Metric_"
"D10","LTST-C191TBKT-5A","TopLayer","0603","2724.830","1788.583","120","Blue 473nm LED Indication - Discrete 2.8V 0603 _1608 Metric_"
"D9","LTST-C193KRKT-2A","TopLayer","0603","5014.001","1837.008","65","Red 629nm LED Indication - Discrete 1.9V 0603 _1608 Metric_"
"D8","LTST-C193KRKT-2A","TopLayer","0603","5057.874","2030.315","90","Red 629nm LED Indication - Discrete 1.9V 0603 _1608 Metric_"
"D7","LTST-C193KRKT-2A","TopLayer","0603","4991.984","2262.598","120","Red 629nm LED Indication - Discrete 1.9V 0603 _1608 Metric_"
"D6","LTST-C193KRKT-2A","TopLayer","0603","4775.632","2448.425","335","Red 629nm LED Indication - Discrete 1.9V 0603 _1608 Metric_"
"D5","LTST-C193KRKT-2A","TopLayer","0603","4431.324","2448.425","20","Red 629nm LED Indication - Discrete 1.9V 0603 _1608 Metric_"
"D4","LTST-C193KRKT-2A","TopLayer","0603","4214.973","2262.598","55","Red 629nm LED Indication - Discrete 1.9V 0603 _1608 Metric_"
"D3","LTST-C193KRKT-2A","TopLayer","0603","4150.222","2029.134","90","Red 629nm LED Indication - Discrete 1.9V 0603 _1608 Metric_"
"D2","SMAJ6.0A","BottomLayer","FP-SMA-MFG","3458.268","2370.079","90","TVS DIODE 6V 10.3V SMA"
"D1","SP3031-01ETG","BottomLayer","FP-SP3031-MFG","4897.638","2720.472","90","TVS DIODE 5V 7.5V SOD882"
"C12","C1608X5R1A106K080AC","BottomLayer","FP-C1608-080-0_1-MFG","4005.905","2059.449","180","Multilayer Ceramic Capacitors 10µF ±10% 10V X5R SMD 0603"
"C11","C1608X5R1A106K080AC","BottomLayer","FP-C1608-080-0_1-MFG","4004.331","2137.008","180","Multilayer Ceramic Capacitors 10µF ±10% 10V X5R SMD 0603"
"C10","C1608X5R1A106K080AC","BottomLayer","FP-C1608-080-0_1-MFG","3675.197","2092.520","180","Multilayer Ceramic Capacitors 10µF ±10% 10V X5R SMD 0603"
"C9","C1608X5R1A106K080AC","BottomLayer","FP-C1608-080-0_1-MFG","3674.409","2162.992","180","Multilayer Ceramic Capacitors 10µF ±10% 10V X5R SMD 0603"
"C8","GRM155R71C104KA88D","BottomLayer","FP-GRM15-MFG","3917.323","3232.284","180","CAP CER 0.1UF 16V X7R 0402"
"C6","C0603C105K4RACTU","BottomLayer","CAPC1608X90X35LL15T15","3518.898","1894.488","0",""
"C5","EMK105BJ105KV-F","BottomLayer","FP-0402-L_1_0_0_05-W_0_5-IPC_A","4366.142","3944.882","0","None"
"C3","EMK105BJ105KV-F","BottomLayer","FP-0402-L_1_0_0_05-W_0_5-IPC_A","4362.205","4031.496","90","None"
"C2","GRM155R71C104KA88D","BottomLayer","FP-GRM15-MFG","4291.339","4027.559","270","CAP CER 0.1UF 16V X7R 0402"
"C1","C1608X5R1A106K080AC","BottomLayer","FP-C1608-080-0_1-MFG","3516.929","1832.284","180","Multilayer Ceramic Capacitors 10µF ±10% 10V X5R SMD 0603"
